Gemcodel,Gemcode,GemeentecodeGM,Provincienaam,Provinciecode,ProvinciecodePV,Y2011Q3,Y2012Q1,Y2012Q3,Y2013Q1,Y2013Q3,Y2014Q1,Y2016Q1,Y2016Q3,Y2017Q1,Y2018Q1,Y2018Q3,Y2019Q1,Y2019Q3,Y2020Q3,Y2021Q3,Y2022Q3
Hardinxveld-Giessendam,523,GM0523,Zuid-Holland,28,PV28,0,0,12,48,94,94,94,85,85,86,87,87,88,89,90,89
Haren,17,GM0017,Groningen,20,PV20,0,0,0,0,0,0,0,0,2,5,5,,,,,
Harenkarspel,395,GM0395,,,,0,0,0,0,0,,,,,,,,,,,
Harlingen,72,GM0072,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,9
Hattem,244,GM0244,Gelderland,25,PV25,0,16,100,100,100,100,83,91,90,94,94,95,95,94,94,99
Heemskerk,396,GM0396,Noord-Holland,27,PV27,0,0,0,0,0,0,18,9,9,9,9,10,10,10,11,12
Heemstede,397,GM0397,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,26
Heerde,246,GM0246,Gelderland,25,PV25,0,1,80,81,81,80,73,74,74,75,75,75,75,86,88,95
Heerenveen,74,GM0074,Friesland,21,PV21,0,0,0,0,0,0,2,1,1,2,2,3,3,11,15,74
Heerhugowaard,398,GM0398,Noord-Holland,27,PV27,1,7,8,9,9,10,7,10,11,14,14,25,25,28,29,
Heerlen,917,GM0917,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
Heeze-Leende,1658,GM1658,Noord-Brabant,30,PV30,0,0,0,0,67,98,91,88,87,90,90,95,95,98,97,98
Heiloo,399,GM0399,Noord-Holland,27,PV27,0,0,0,2,80,100,100,98,97,97,98,100,100,98,99,99
Den Helder,400,GM0400,Noord-Holland,27,PV27,0,0,0,0,0,0,3,5,5,6,6,7,7,8,10,50
Hellendoorn,163,GM0163,Overijssel,23,PV23,0,0,0,0,0,0,79,78,77,79,88,91,91,90,91,95
Hellevoetsluis,530,GM0530,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8
Helmond,794,GM0794,Noord-Brabant,30,PV30,8,8,8,28,28,28,4,8,8,27,3,34,34,56,56,56
Hendrik-Ido-Ambacht,531,GM0531,Zuid-Holland,28,PV28,,,24,24,24,42,81,94,94,95,97,98,98,98,98,98
Hengelo,164,GM0164,Overijssel,23,PV23,0,0,0,1,0,1,25,24,24,24,25,26,26,45,47,99
's-Hertogenbosch,796,GM0796,Noord-Brabant,30,PV30,0,0,0,0,0,0,23,18,18,18,20,22,24,29,31,77
Heumen,252,GM0252,Gelderland,25,PV25,0,3,3,3,33,90,66,92,92,92,95,91,92,94,93,98
Heusden,797,GM0797,Noord-Brabant,30,PV30,0,0,0,0,0,0,2,5,5,6,7,9,9,10,12,79
Hillegom,534,GM0534,Zuid-Holland,28,PV28,94,93,93,92,92,91,80,83,83,3,7,7,7,8,11,12
Hilvarenbeek,798,GM0798,Noord-Brabant,30,PV30,0,0,0,0,0,0,82,92,92,99,99,94,99,100,99,99
Hilversum,402,GM0402,Noord-Holland,27,PV27,90,100,97,100,100,97,99,97,96,97,98,98,98,98,99,99
Hof van Twente,1735,GM1735,Overijssel,23,PV23,0,0,26,44,65,76,47,83,83,86,87,91,91,91,90,90
Hoogeveen,118,GM0118,Drenthe,22,PV22,0,0,0,0,0,0,56,47,47,48,48,59,59,59,60,60
Hoogezand-Sappemeer,18,GM0018,Groningen,20,PV20,0,0,0,0,0,0,3,0,1,,,,,,,
Hoorn,405,GM0405,Noord-Holland,27,PV27,0,1,4,5,5,5,9,5,6,6,7,8,8,9,12,13
Horst aan de Maas,1507,GM1507,Limburg,31,PV31,0,0,58,84,85,85,76,76,75,80,80,81,81,88,89,98
Houten,321,GM0321,Utrecht,26,PV26,98,98,97,97,97,95,92,90,89,89,90,92,92,94,93,94
Huizen,406,GM0406,Noord-Holland,27,PV27,0,0,0,0,3,46,95,95,95,96,96,97,97,97,97,97
Hulst,677,GM0677,Zeeland,29,PV29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48
IJsselstein,353,GM0353,Utrecht,26,PV26,0,0,80,97,97,96,64,95,95,95,96,98,98,98,98,99
Kaag en Braassem,1884,GM1884,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,1,1,3,4,14,6,15,16,12
Kampen,166,GM0166,Overijssel,23,PV23,0,0,0,0,0,0,15,9,10,12,13,13,15,18,19,24
Kapelle,678,GM0678,Zeeland,29,PV29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,77
Katwijk,537,GM0537,Zuid-Holland,28,PV28,0,1,1,1,1,2,21,12,13,14,16,15,16,39,46,99
Kerkrade,928,GM0928,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6
Koggenland,1598,GM1598,Noord-Holland,27,PV27,0,0,0,0,0,0,1,0,1,2,4,6,6,27,27,27
Kollumerland en Nieuwkruisland,79,GM0079,Friesland,21,PV21,0,0,0,0,0,0,25,51,51,51,51,,,,,
Korendijk,588,GM0588,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,0,0,2,,,,,
